时间,事件,用户名,用户组,用户类型,认证方式,IP地址,终端MAC,接入点,接入点分组,接入网络, 虚拟局域网,角色,计算机名,终端类型,网卡厂商
="2019-01-10 11:17:44","接入","04-B1-67-67-04-E6","/PSK认证组/","本地用户","WPA-PSK(个人)","-","04-B1-67-67-04-E6","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","安卓移动终端","Xiaomi Communications Co Ltd"
="2019-01-10 11:17:44","接入","AC-29-3A-C4-F8-29","/PSK认证组/","本地用户","WPA-PSK(个人)","-","AC-29-3A-C4-F8-29","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:17:52","接入","9C-2E-A1-9E-43-13","/PSK认证组/","本地用户","WPA-PSK(个人)","-","9C-2E-A1-9E-43-13","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","安卓移动终端","Xiaomi Communications Co Ltd"
="2019-01-10 11:18:03","接入","14-BD-61-D5-AC-F5","/PSK认证组/","本地用户","WPA-PSK(个人)","-","14-BD-61-D5-AC-F5","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:12","接入","14-BD-61-D5-AC-F5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.36","14-BD-61-D5-AC-F5","BJAP01","Beijing","Brenntag-Guest","192","默认角色","iPhone","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:14","接入","90-2B-D2-E8-27-63","/PSK认证组/","本地用户","WPA-PSK(个人)","-","90-2B-D2-E8-27-63","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","安卓移动终端","HUAWEI TECHNOLOGIES CO.,LTD"
="2019-01-10 11:18:15","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.51","B8-C1-11-08-32-BC","BJAP01","Beijing","Brenntag-Guest","192","默认角色","Daniels-iphone","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:16","接入","14-BD-61-D5-AC-F5","/PSK认证组/","本地用户","WPA-PSK(个人)","-","14-BD-61-D5-AC-F5","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:17","接入","48-43-7C-61-7A-F1","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.34","48-43-7C-61-7A-F1","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:18","接入","94-65-9C-A2-1C-A5","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","10.8.92.120","94-65-9C-A2-1C-A5","BJAP01","Beijing","Brenntag-User","1","默认角色","basgp1nb75","Windows PC","Intel Corporate"
="2019-01-10 11:18:21","接入","94-65-9C-A2-1C-A5","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","94-65-9C-A2-1C-A5","BJAP02","Beijing","Brenntag-User","1","默认角色","-","Windows PC","Intel Corporate"
="2019-01-10 11:18:22","接入","48-43-7C-61-7A-F1","/PSK认证组/","本地用户","WPA-PSK(个人)","-","48-43-7C-61-7A-F1","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:22","接入","14-BD-61-D5-AC-F5","/PSK认证组/","本地用户","WPA-PSK(个人)","-","14-BD-61-D5-AC-F5","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:22","接入","B8-41-A4-F1-48-A5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.35","B8-41-A4-F1-48-A5","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:25","接入","3C-6A-A7-72-CD-B5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.50","3C-6A-A7-72-CD-B5","BJAP02","Beijing","Brenntag-Guest","192","默认角色","A4478","Windows PC","Intel Corporate"
="2019-01-10 11:18:27","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.51","B8-C1-11-08-32-BC","BJAP02","Beijing","Brenntag-Guest","192","默认角色","Daniels-iphone","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:27","接入","00-CD-FE-36-41-0B","/PSK认证组/","本地用户","WPA-PSK(个人)","-","00-CD-FE-36-41-0B","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:28","接入","90-2B-D2-E8-27-63","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.54","90-2B-D2-E8-27-63","BJAP02","Beijing","Brenntag-Guest","192","默认角色","HUAWEI_Mate_20-","安卓移动终端","HUAWEI TECHNOLOGIES CO.,LTD"
="2019-01-10 11:18:28","接入","34-23-87-3A-76-75","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","34-23-87-3A-76-75","BJAP02","Beijing","Brenntag-User","1","默认角色","-","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-10 11:18:29","接入","38-53-9C-F1-1D-3C","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.40","38-53-9C-F1-1D-3C","BJAP02","Beijing","Brenntag-Guest","192","默认角色","shubeide-iPhone","苹果移动终端","Apple, Inc."
="2019-01-10 11:18:48","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.51","B8-C1-11-08-32-BC","BJAP02","Beijing","Brenntag-Guest","192","默认角色","Daniels-iphone","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:01","接入","9C-2E-A1-9E-43-13","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.57","9C-2E-A1-9E-43-13","BJAP02","Beijing","Brenntag-Guest","192","默认角色","MIX2S-Denisdexi","安卓移动终端","Xiaomi Communications Co Ltd"
="2019-01-10 11:19:02","接入","3C-6A-A7-72-CD-B5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.50","3C-6A-A7-72-CD-B5","BJAP02","Beijing","Brenntag-Guest","192","默认角色","A4478","Windows PC","Intel Corporate"
